example,individuals,times,exposures,biomarkers,min,first_q,median,mean,third_q,max
README,100,120,2,1,2.336,3.23925,3.568,3.58183,3.939,4.965
README,250,120,2,1,11.172,12.82,13.864,13.97325,15.039,17.772
README,500,120,2,1,24.291,26.532,28.236,29.28317,29.88375,40.68
README,1000,120,2,1,66.355,76.4285,81.89,80.48068,85.10625,89.776
README,100,180,2,1,4.811,6.07375,6.504,6.50425,7.02675,8.061
README,250,180,2,1,14.719,16.72375,18.0325,18.34381,19.3585,25.168
README,500,180,2,1,43.076,47.69775,49.893,51.06775,51.737,69.541
README,1000,180,2,1,133.268,142.75975,146.948,150.04816,150.84125,200.476
README,100,240,2,1,6.411,8.596,9.055,9.05867,9.48625,10.823
README,250,240,2,1,20.531,23.0555,24.3905,25.60518,25.78325,37.819
README,500,240,2,1,63.469,69.36175,72.9335,75.74411,79.532,109.09
README,1000,240,2,1,190.018,223.44875,234.159,236.96077,243.6965,310.793
CS1,100,120,2,1,5.54,6.2865,6.714,6.66531,6.9815,7.942
CS1,250,120,2,1,13.917,16.25325,17.265,17.09478,17.80475,19.753
CS1,500,120,2,1,31.999,39.54075,41.9315,41.09108,42.933,47.499
CS1,1000,120,2,1,80.698,86.30675,89.6845,93.59594,102.276,109.406
CS1,100,180,2,1,7.723,9.214,9.618,9.63332,10.02275,11.533
CS1,250,180,2,1,22.081,24.907,25.448,25.44976,25.9695,27.648
CS1,500,180,2,1,52.748,56.43875,59.4685,60.22723,63.76025,72.918
CS1,1000,180,2,1,127.039,156.29275,166.5795,165.85804,174.97675,190.633
CS1,100,240,2,1,11.016,12.261,12.7455,12.77216,13.32725,14.55
CS1,250,240,2,1,30.318,33.7945,34.6905,34.69818,35.49375,38.765
CS1,500,240,2,1,73.209,77.4765,79.8595,80.36778,82.86775,92.935
CS1,1000,240,2,1,181.25,219.777,237.4745,236.79948,254.471,283.67
CS2,100,120,3,2,34.92,39.89725,42.2675,42.27887,43.86,50.435
CS2,250,120,3,2,110.436,126.6275,135.1325,136.34848,146.8845,163.286
CS2,500,120,3,2,307.475,341.96025,359.698,376.81346,415.66725,476.039
CS2,1000,120,3,2,853.256,966.01175,1004.366,1092.14772,1195.69175,1726.456
CS2,100,180,3,2,66.269,77.5995,81.634,81.57376,86.80025,100.364
CS2,250,180,3,2,200.882,223.659,236.484,262.52954,311.355,346.426
CS2,500,180,3,2,772.231,881.06275,910.7425,912.50045,942.07275,1024.216
CS2,1000,180,3,2,1581.74,2236.56425,2496.192,2572.88725,2985.05575,3510.988
CS2,100,240,3,2,89.119,107.29575,111.818,112.04277,117.20225,128.841
CS2,250,240,3,2,377.121,419.81525,432.641,439.16326,452.08675,534.616
CS2,500,240,3,2,798.454,1173.0465,1229.336,1309.30048,1360.25625,1886.751
CS2,1000,240,3,2,2849.219,3622.121,4136.3535,4312.38877,5079.2115,5756.784